Team;Games;Corners For;Corners Against;;;;;;
Man City;6;6.00;3.33;;;;;;
Liverpool;6;6.33;4.67;;;;;;
Chelsea;8;5.00;5.50;;;;;;
Tottenham;7;5.14;5.43;;;;;;
Arsenal;8;4.25;4.50;;;;;;
Man Utd;8;3.13;5.38;;;;;;
West Ham;7;7.43;5.86;;;;;;
Wolverhampton;7;4.43;4.00;;;;;;
Leicester;8;3.00;7.00;;;;;;
Brighton;7;4.86;5.00;;;;;;
Brentford;8;4.88;6.38;;;;;;
Newcastle;7;5.29;6.14;;;;;;
Crystal Palace;7;3.43;5.43;;;;;;
Aston Villa;8;4.25;5.63;;;;;;
Southampton;8;3.00;6.63;;;;;;
Everton;8;4.13;7.63;;;;;;
Fulham;7;3.71;6.00;;;;;;
Leeds;7;4.57;5.57;;;;;;
Bournemouth;7;2.57;7.71;;;;;;
Nottm Forest;7;2.86;7.86;;;;;;
